decided_at,decision_id,from_layer,input_sha256,passed_gate_ids,reason_codes,required_gate_ids,scope_notes,status,subject_id,to_layer
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0227,bronze_b1,"[""db5eb0d6467c0ac15bda3ba1a719c5d891b5cb2884273d2d1f8f73411637a6bd""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:db5eb0d6467c0ac15bda3ba1a719c5d891b5cb2884273d2d1f8f73411637a6bd,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0136,bronze_b1,"[""46e48fed9fe85a57814332aa066744c6821d4096005924059435efeb66430442""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:46e48fed9fe85a57814332aa066744c6821d4096005924059435efeb66430442,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0090,bronze_b1,"[""437fc4820375983ae649b93d7289704ea5e6d089beadfe499a60e4756e0ff206""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:437fc4820375983ae649b93d7289704ea5e6d089beadfe499a60e4756e0ff206,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0215,bronze_b1,"[""accd907d171de69a248b141fa55453b9b566c60a9e4321181b3d06ea661adab0""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:accd907d171de69a248b141fa55453b9b566c60a9e4321181b3d06ea661adab0,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:uk_genomic_test_directory_rare_v9,bronze_b1,"[""2bd3a3e75e30d3e8c6b6623824cc8018f65b0e7fc0e24ced15d02beba9b43bf1""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:2bd3a3e75e30d3e8c6b6623824cc8018f65b0e7fc0e24ced15d02beba9b43bf1,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0324,bronze_b1,"[""506cfe3cf3ad61e74a7a452f65b3ddb9d422432757c506e631b9ddd1258709f9""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:506cfe3cf3ad61e74a7a452f65b3ddb9d422432757c506e631b9ddd1258709f9,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0080,bronze_b1,"[""8676fe1dfe139f5b9856cc9403f63a59895fd5f166bbf611a7664f9cbe7fc335""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:8676fe1dfe139f5b9856cc9403f63a59895fd5f166bbf611a7664f9cbe7fc335,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0204,bronze_b1,"[""ac7548ce5e69fccb7d05f95cdaca355079863581f68e9b1c242706b3c265fd68""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:ac7548ce5e69fccb7d05f95cdaca355079863581f68e9b1c242706b3c265fd68,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0297,bronze_b1,"[""0a8f73832a220851ceb0bcbc0adbe76a07b9978f1dd8acc880b094ef51502b7f""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:0a8f73832a220851ceb0bcbc0adbe76a07b9978f1dd8acc880b094ef51502b7f,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0245,bronze_b1,"[""b2ec19a06c5460d5c474df3615fa7a53d28ea1445ce7285a1abc8f0050b0ba4e""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:b2ec19a06c5460d5c474df3615fa7a53d28ea1445ce7285a1abc8f0050b0ba4e,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_20260701_xml,bronze_b1,"[""5834d849743a3eab2b8c03e826a5ed6a488a6f65cf4c4148da3ec227e5007805""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:5834d849743a3eab2b8c03e826a5ed6a488a6f65cf4c4148da3ec227e5007805,bronze_b2
1970-01-01T00:00:00Z,promotion:b1-b2:au_mbs_historical_0218,bronze_b1,"[""6ab33ebf45fe2dcb3bef861b7d408aaa83269d8b89dd4f47bfbce59e9e403fa8""]","[""fixity_verified"", ""admission_passed""]","[""immutable_reference_recorded""]","[""fixity_verified"", ""admission_passed""]",Approval records identity only and does not authorize redistribution.,approved,sha256:6ab33ebf45fe2dcb3bef861b7d408aaa83269d8b89dd4f47bfbce59e9e403fa8,bronze_b2
